,PAGE_NUMBER
0,59
1,59
2,59
3,59
4,59
5,59
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,59
15,59
16,59
17,59
18,59
19,46
20,46
21,46
22,46
23,46
24,46
25,46
26,46
27,46
28,46
29,46
30,46
31,46
32,46
33,28
34,28
35,28
36,28
37,28
38,28
39,28
40,28
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,75
60,75
61,75
62,75
63,75
64,75
65,75
66,75
67,75
68,75
69,44
70,44
71,44
72,44
73,44
74,44
75,44
76,44
77,44
78,44
79,44
80,44
81,44
82,44
83,44
84,44
85,44
86,44
87,44
88,15
89,15
90,15
91,15
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
100,15
101,15
102,15
103,15
104,15
105,15
106,15
107,15
108,15
109,15
110,93
111,93
112,93
113,93
114,93
115,93
116,93
117,93
118,93
119,93
120,93
121,93
122,93
123,93
124,93
125,93
126,93
127,93
128,93
129,19
130,19
131,19
132,19
133,19
134,19
135,19
136,19
137,19
138,19
139,19
140,19
141,19
142,19
143,19
144,19
145,19
146,19
147,84
148,84
149,84
150,84
151,84
152,84
153,84
154,84
155,84
156,84
157,84
158,84
159,84
160,84
161,84
162,84
163,84
164,84
165,42
166,42
167,42
168,42
169,42
170,42
171,42
172,42
173,42
174,42
175,42
176,42
177,42
178,42
179,42
180,42
181,42
182,42
183,42
184,36
185,36
186,36
187,36
188,36
189,36
190,36
191,74
192,74
193,74
194,74
195,74
196,74
197,74
198,74
199,74
200,74
201,74
202,74
203,74
204,74
205,74
206,74
207,74
208,74
209,74
210,74
211,74
212,74
213,74
214,74
215,74
216,74
217,74
218,29
219,29
220,29
221,29
222,29
223,29
224,29
225,56
226,56
227,56
228,56
229,56
230,56
231,56
232,56
233,56
234,56
235,56
236,56
237,56
238,56
239,56
240,56
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,50
254,50
255,50
256,50
257,50
258,50
259,50
260,50
261,50
262,50
263,50
264,50
265,50
266,50
267,50
268,50
269,50
270,50
271,50
272,50
273,50
274,12
275,12
276,12
277,12
278,12
279,12
280,12
281,12
282,12
283,12
284,12
285,12
286,12
287,12
288,12
289,12
290,12
291,80
292,80
293,80
294,80
295,80
296,80
297,80
298,80
299,80
300,80
301,80
302,80
303,80
304,80
305,80
306,80
307,80
308,80
309,80
310,80
311,80
312,80
313,80
314,80
315,80
316,80
317,80
318,69
319,69
320,69
321,69
322,69
323,69
324,69
325,69
326,69
327,69
328,69
329,69
330,69
331,69
332,69
333,69
334,69
335,69
336,69
337,69
338,69
339,69
340,69
341,69
342,48
343,48
344,48
345,48
346,48
347,48
348,48
349,48
350,48
351,48
352,48
353,48
354,48
355,48
356,48
357,48
358,48
359,48
360,48
361,48
362,20
363,20
364,20
365,20
366,20
367,20
368,20
369,20
370,20
371,20
372,20
373,20
374,20
375,20
376,20
377,20
378,20
379,20
380,90
381,90
382,90
383,90
384,90
385,90
386,90
387,90
388,90
389,90
390,90
391,90
392,90
393,90
394,90
395,90
396,90
397,90
398,90
399,23
400,23
401,23
402,23
403,23
404,23
405,23
406,23
407,70
408,70
409,70
410,70
411,70
412,70
413,70
414,70
415,70
416,70
417,70
418,70
419,70
420,70
421,70
422,70
423,70
424,70
425,70
426,70
427,70
428,70
429,70
430,70
431,70
432,70
433,70
434,70
435,99
436,99
437,99
438,99
439,99
440,99
441,99
442,99
443,99
444,99
445,99
446,99
447,99
448,99
449,99
450,99
451,99
452,78
453,78
454,78
455,78
456,78
457,78
458,78
459,78
460,78
461,78
462,78
463,78
464,78
465,78
466,78
467,78
468,78
469,78
470,78
471,78
472,78
473,78
474,78
475,78
476,78
477,78
478,68
479,68
480,68
481,68
482,68
483,68
484,68
485,68
486,68
487,68
488,68
489,68
490,68
491,68
492,68
493,68
494,68
495,68
496,68
497,68
498,68
499,68
500,68
501,68
502,68
503,68
504,27
505,27
506,27
507,27
508,27
509,27
510,27
511,27
512,51
513,51
514,51
515,51
516,51
517,51
518,51
519,51
520,51
521,51
522,51
523,51
524,51
525,51
526,51
527,51
528,51
529,51
530,51
531,51
532,51
533,30
534,30
535,30
536,30
537,30
538,30
539,30
540,30
541,30
542,86
543,86
544,86
545,86
546,86
547,86
548,86
549,86
550,86
551,86
552,86
553,86
554,86
555,86
556,86
557,86
558,86
559,86
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,73
579,73
580,73
581,73
582,73
583,73
584,73
585,73
586,73
587,73
588,73
589,73
590,73
591,73
592,73
593,73
594,73
595,73
596,73
597,73
